,Unnamed: 0,Unnamed: 0.1,trial_index,weekId,subjectId,expId,rt,small_amount,large_amount,later_delay,choice,date
155,15638,15,15,7,bkvnluqzwjwe,itc,3835.0,20.0,60.0,8.0,1,07/13/2020
156,15639,17,17,7,bkvnluqzwjwe,itc,4976.0,79.0,80.0,79.0,0,07/13/2020
157,15641,21,21,7,bkvnluqzwjwe,itc,5068.0,5.0,55.0,244.0,1,07/13/2020
158,15642,23,23,7,bkvnluqzwjwe,itc,3395.0,20.0,25.0,100.0,1,07/13/2020
159,15643,25,25,7,bkvnluqzwjwe,itc,3586.0,49.0,50.0,51.0,0,07/13/2020
160,15644,27,27,7,bkvnluqzwjwe,itc,1727.0,43.0,75.0,124.0,1,07/13/2020
161,15645,29,29,7,bkvnluqzwjwe,itc,1772.0,20.0,60.0,125.0,1,07/13/2020
162,15646,31,31,7,bkvnluqzwjwe,itc,4580.0,24.0,25.0,260.0,0,07/13/2020
163,15647,33,33,7,bkvnluqzwjwe,itc,1418.0,10.0,35.0,10.0,1,07/13/2020
164,15648,35,35,7,bkvnluqzwjwe,itc,7971.0,46.0,50.0,87.0,0,07/13/2020
165,15649,37,37,7,bkvnluqzwjwe,itc,1426.0,10.0,35.0,61.0,1,07/13/2020
166,15650,39,39,7,bkvnluqzwjwe,itc,1676.0,31.0,55.0,129.0,1,07/13/2020
167,15651,41,41,7,bkvnluqzwjwe,itc,7120.0,32.0,75.0,84.0,1,07/13/2020
168,15652,43,43,7,bkvnluqzwjwe,itc,1611.0,20.0,85.0,13.0,1,07/13/2020
169,15653,45,45,7,bkvnluqzwjwe,itc,4136.0,34.0,80.0,33.0,1,07/13/2020
170,15654,47,47,7,bkvnluqzwjwe,itc,3272.0,54.0,55.0,116.0,0,07/13/2020
171,15655,49,49,7,bkvnluqzwjwe,itc,3343.0,23.0,25.0,87.0,0,07/13/2020
172,15656,51,51,7,bkvnluqzwjwe,itc,3817.0,11.0,30.0,108.0,1,07/13/2020
173,15657,53,53,7,bkvnluqzwjwe,itc,1819.0,15.0,30.0,10.0,1,07/13/2020
174,15658,55,55,7,bkvnluqzwjwe,itc,4265.0,29.0,30.0,86.0,0,07/13/2020
175,15659,57,57,7,bkvnluqzwjwe,itc,1420.0,64.0,80.0,100.0,1,07/13/2020
176,18009,5,5,8,bkvnluqzwjwe,itc,9197.0,23.0,35.0,87.0,1,07/13/2020
177,18010,7,7,8,bkvnluqzwjwe,itc,4714.0,58.0,60.0,86.0,0,07/13/2020
178,18011,9,9,8,bkvnluqzwjwe,itc,1907.0,5.0,30.0,122.0,1,07/13/2020
179,18012,11,11,8,bkvnluqzwjwe,itc,2103.0,24.0,25.0,260.0,0,07/13/2020
180,18013,13,13,8,bkvnluqzwjwe,itc,9031.0,28.0,35.0,100.0,0,07/13/2020
181,18014,15,15,8,bkvnluqzwjwe,itc,2385.0,29.0,30.0,86.0,0,07/13/2020
182,18015,17,17,8,bkvnluqzwjwe,itc,3508.0,31.0,35.0,129.0,0,07/13/2020
183,18016,19,19,8,bkvnluqzwjwe,itc,2090.0,25.0,75.0,8.0,1,07/13/2020
184,18017,21,21,8,bkvnluqzwjwe,itc,1512.0,20.0,60.0,125.0,1,07/13/2020
185,18018,23,23,8,bkvnluqzwjwe,itc,2657.0,49.0,50.0,127.0,0,07/13/2020
186,18019,25,25,8,bkvnluqzwjwe,itc,1743.0,40.0,80.0,10.0,1,07/13/2020
187,18020,27,27,8,bkvnluqzwjwe,itc,1449.0,20.0,55.0,7.0,1,07/13/2020
188,18022,31,31,8,bkvnluqzwjwe,itc,2904.0,11.0,30.0,108.0,1,07/13/2020
189,18023,33,33,8,bkvnluqzwjwe,itc,1796.0,30.0,60.0,10.0,1,07/13/2020
190,18024,35,35,8,bkvnluqzwjwe,itc,2861.0,72.0,75.0,104.0,0,07/13/2020
191,18025,37,37,8,bkvnluqzwjwe,itc,1138.0,34.0,80.0,33.0,1,07/13/2020
192,18026,39,39,8,bkvnluqzwjwe,itc,1186.0,8.0,50.0,128.0,1,07/13/2020
193,18027,41,41,8,bkvnluqzwjwe,itc,3592.0,50.0,55.0,100.0,0,07/13/2020
194,18028,43,43,8,bkvnluqzwjwe,itc,4322.0,64.0,80.0,100.0,1,07/13/2020
195,18029,45,45,8,bkvnluqzwjwe,itc,2199.0,82.0,85.0,229.0,0,07/13/2020
196,18030,47,47,8,bkvnluqzwjwe,itc,1576.0,46.0,85.0,53.0,1,07/13/2020
197,18031,49,49,8,bkvnluqzwjwe,itc,1997.0,10.0,25.0,15.0,1,07/13/2020
198,18032,51,51,8,bkvnluqzwjwe,itc,1461.0,5.0,25.0,16.0,1,07/13/2020
199,18033,53,53,8,bkvnluqzwjwe,itc,6701.0,50.0,55.0,40.0,1,07/13/2020
200,18034,55,55,8,bkvnluqzwjwe,itc,2077.0,34.0,85.0,250.0,1,07/13/2020
201,18035,57,57,8,bkvnluqzwjwe,itc,2484.0,39.0,50.0,47.0,1,07/13/2020
202,20439,5,5,9,bkvnluqzwjwe,itc,6314.0,5.0,25.0,16.0,1,07/13/2020
203,20440,7,7,9,bkvnluqzwjwe,itc,3977.0,46.0,50.0,87.0,0,07/13/2020
204,20441,9,9,9,bkvnluqzwjwe,itc,1879.0,50.0,60.0,80.0,1,07/13/2020
205,20442,11,11,9,bkvnluqzwjwe,itc,2021.0,11.0,30.0,108.0,1,07/13/2020
206,20443,13,13,9,bkvnluqzwjwe,itc,6390.0,78.0,80.0,64.0,0,07/13/2020
207,20444,15,15,9,bkvnluqzwjwe,itc,1256.0,25.0,55.0,12.0,1,07/13/2020
208,20445,17,17,9,bkvnluqzwjwe,itc,1731.0,10.0,25.0,15.0,1,07/13/2020
209,20446,19,19,9,bkvnluqzwjwe,itc,3168.0,82.0,85.0,229.0,0,07/13/2020
210,20447,21,21,9,bkvnluqzwjwe,itc,1911.0,32.0,75.0,84.0,1,07/13/2020
211,20448,23,23,9,bkvnluqzwjwe,itc,2830.0,52.0,55.0,144.0,0,07/13/2020
212,20449,25,25,9,bkvnluqzwjwe,itc,1255.0,31.0,55.0,129.0,1,07/13/2020
213,20451,29,29,9,bkvnluqzwjwe,itc,2885.0,50.0,80.0,100.0,1,07/13/2020
214,20452,31,31,9,bkvnluqzwjwe,itc,1652.0,25.0,75.0,8.0,1,07/13/2020
215,20453,33,33,9,bkvnluqzwjwe,itc,1492.0,20.0,60.0,125.0,1,07/13/2020
216,20454,35,35,9,bkvnluqzwjwe,itc,2770.0,29.0,30.0,215.0,0,07/13/2020
217,20456,39,39,9,bkvnluqzwjwe,itc,1215.0,40.0,80.0,10.0,1,07/13/2020
218,20457,41,41,9,bkvnluqzwjwe,itc,2861.0,49.0,50.0,127.0,0,07/13/2020
219,20459,45,45,9,bkvnluqzwjwe,itc,4263.0,80.0,85.0,25.0,1,07/13/2020
220,20460,47,47,9,bkvnluqzwjwe,itc,1766.0,20.0,60.0,8.0,1,07/13/2020
221,20461,49,49,9,bkvnluqzwjwe,itc,2233.0,8.0,50.0,128.0,1,07/13/2020
222,20462,51,51,9,bkvnluqzwjwe,itc,3870.0,23.0,35.0,87.0,1,07/13/2020
223,20463,53,53,9,bkvnluqzwjwe,itc,3061.0,54.0,85.0,14.0,1,07/13/2020
224,20464,55,55,9,bkvnluqzwjwe,itc,1809.0,10.0,35.0,61.0,1,07/13/2020
225,20465,57,57,9,bkvnluqzwjwe,itc,3063.0,27.0,30.0,111.0,0,07/13/2020
226,22923,5,5,10,bkvnluqzwjwe,itc,7073.0,10.0,35.0,61.0,1,07/13/2020
227,22924,7,7,10,bkvnluqzwjwe,itc,2354.0,10.0,25.0,15.0,1,07/13/2020
228,22925,9,9,10,bkvnluqzwjwe,itc,4224.0,34.0,80.0,33.0,1,07/13/2020
